State,Year,Coal,Natural gas,Petroleum,Nuclear,Total renewable energy,TotalEnergy,PercentRenewable,PercentNonRenewable
ND,1974,76484,35530,117592,0,9734,239340,4.067017631820841,95.93298236817915
NE,1974,32763,223253,210070,44596,7067,517749,1.3649471075752924,98.63505289242471
NH,1974,25275,8391,139001,0,18395,191062,9.627764809328909,90.37223519067109
NJ,1974,82477,282201,1414664,41000,35079,1855421,1.8906221283471514,98.10937787165285
NM,1974,140947,273397,193141,0,4403,611888,0.7195761315796355,99.28042386842037
NV,1974,100463,67689,109083,0,6512,283747,2.2950022379091233,97.70499776209088
NY,1974,374196,641925,2662440,103490,160434,3942485,4.069362343800927,95.93063765619907
OH,1974,1642125,1114904,1182948,0,48339,3988316,1.212015296681607,98.78798470331839
OK,1974,4187,681130,408315,0,23592,1117224,2.111662477712616,97.88833752228739
OR,1974,3251,102365,318409,0,179758,603783,29.771954493584616,70.22804550641538
PA,1974,1661359,732721,1602646,78108,62288,4137122,1.5055877008219725,98.49441229917802
RI,1974,954,24090,147937,0,4991,177972,2.804373721709033,97.19562627829097
SC,1974,155268,135291,353785,123406,55603,823353,6.753239497518075,93.24676050248192
SD,1974,7356,32044,102368,0,20599,162367,12.686691261155284,87.31330873884471
TN,1974,470336,265374,470394,0,97696,1303800,7.493173799662525,92.50682620033747
TX,1974,133141,4584002,3312660,0,65222,8095025,0.8057047384041433,99.19429526159585
UT,1974,107648,115206,199781,0,5823,428458,1.3590596978000178,98.64094030219998
VA,1974,176954,146811,853442,66437,58458,1302102,4.48951003838409,95.51048996161592
VT,1974,1469,4785,69940,27708,9165,113067,8.105813367295497,91.8941866327045
WA,1974,54167,191311,539132,43409,346630,1174649,29.509240632733693,70.4907593672663
WI,1974,278640,386865,527154,92144,51418,1336221,3.8480161590036377,96.15198384099637
WV,1974,841804,186565,181101,0,15711,1225181,1.282341139798936,98.71765886020107
WY,1974,109107,95363,124555,0,6276,335301,1.8717510535310065,98.128248946469
US,1974,12651009,21729561,33420613,1272083,2586000,71659266,3.6087447504695347,96.39125524953046
AK,1975,15271,85175,123119,0,6112,229677,2.6611284543075713,97.33887154569243
AL,1975,640063,271747,487794,29978,99284,1528866,6.493963499744255,93.50603650025575
